rep,condition,step,rmse,distinct_items,reference,grad_steps,best_val_return
1,MFI,1,1.2734985777472414,203,0.2155675546151828,,
1,MFI,2,0.9278010794045586,203,0.2155675546151828,,
1,MFI,3,0.7510331457137839,203,0.2155675546151828,,
1,MFI,4,0.6676812243001575,203,0.2155675546151828,,
1,MFI,5,0.612762795960218,203,0.2155675546151828,,
1,MFI,6,0.570111340684441,203,0.2155675546151828,,
1,MFI,7,0.524895903235137,203,0.2155675546151828,,
1,MFI,8,0.4834888864741737,203,0.2155675546151828,,
1,MFI,9,0.4530103479854577,203,0.2155675546151828,,
1,MFI,10,0.4273511840915524,203,0.2155675546151828,,
1,MFI,11,0.4069843931295114,203,0.2155675546151828,,
1,MFI,12,0.3845885105403202,203,0.2155675546151828,,
1,MFI,13,0.3710901000186207,203,0.2155675546151828,,
1,MFI,14,0.3551846325889488,203,0.2155675546151828,,
1,MFI,15,0.3439497443931079,203,0.2155675546151828,,
1,MFI,16,0.331462589000798,203,0.2155675546151828,,
1,MFI,17,0.3208514452884103,203,0.2155675546151828,,
1,MFI,18,0.3125269881372137,203,0.2155675546151828,,
1,MFI,19,0.3048458578412649,203,0.2155675546151828,,
1,MFI,20,0.298852623534569,203,0.2155675546151828,,
1,MFI,21,0.2927455712920304,203,0.2155675546151828,,
1,MFI,22,0.2866518224280564,203,0.2155675546151828,,
1,MFI,23,0.277129633177971,203,0.2155675546151828,,
1,MFI,24,0.2696015090396202,203,0.2155675546151828,,
1,MFI,25,0.2660187333051534,203,0.2155675546151828,,
1,MFI,26,0.2609603744343541,203,0.2155675546151828,,
1,MFI,27,0.2565341798310123,203,0.2155675546151828,,
1,MFI,28,0.2518996645572124,203,0.2155675546151828,,
1,MFI,29,0.249579900398947,203,0.2155675546151828,,
1,MFI,30,0.2455922414211948,203,0.2155675546151828,,
1,MFI,31,0.2438788686601829,203,0.2155675546151828,,
1,MFI,32,0.2416102320836527,203,0.2155675546151828,,
1,MFI,33,0.2376314772153366,203,0.2155675546151828,,
1,MFI,34,0.2342345534388039,203,0.2155675546151828,,
1,MFI,35,0.2305197437570909,203,0.2155675546151828,,
1,MFI,36,0.2284726590857108,203,0.2155675546151828,,
1,MFI,37,0.2269902802261716,203,0.2155675546151828,,
1,MFI,38,0.2235921608630155,203,0.2155675546151828,,
1,MFI,39,0.2207000152580354,203,0.2155675546151828,,
1,MFI,40,0.2184557147501825,203,0.2155675546151828,,
1,FIWL,1,1.3919559748690138,195,0.2155675546151828,,
1,FIWL,2,0.9164950450723488,195,0.2155675546151828,,
1,FIWL,3,0.7950588865467224,195,0.2155675546151828,,
1,FIWL,4,0.7157741240219748,195,0.2155675546151828,,
1,FIWL,5,0.6349668835327168,195,0.2155675546151828,,
1,FIWL,6,0.5908212807888369,195,0.2155675546151828,,
1,FIWL,7,0.540529258619253,195,0.2155675546151828,,
1,FIWL,8,0.4996883319174739,195,0.2155675546151828,,
1,FIWL,9,0.4644113691907159,195,0.2155675546151828,,
1,FIWL,10,0.4391531554651901,195,0.2155675546151828,,
1,FIWL,11,0.4174664023495911,195,0.2155675546151828,,
1,FIWL,12,0.3948713960140461,195,0.2155675546151828,,
1,FIWL,13,0.3799760648669144,195,0.2155675546151828,,
1,FIWL,14,0.3643800711588393,195,0.2155675546151828,,
1,FIWL,15,0.3529497356444788,195,0.2155675546151828,,
1,FIWL,16,0.3406294910748175,195,0.2155675546151828,,
1,FIWL,17,0.3287584403797337,195,0.2155675546151828,,
1,FIWL,18,0.3222394294867644,195,0.2155675546151828,,
1,FIWL,19,0.3121420899063941,195,0.2155675546151828,,
1,FIWL,20,0.3048208535856744,195,0.2155675546151828,,
1,FIWL,21,0.2988076875844592,195,0.2155675546151828,,
1,FIWL,22,0.2918653838645585,195,0.2155675546151828,,
1,FIWL,23,0.284006630024121,195,0.2155675546151828,,
1,FIWL,24,0.2775105034557463,195,0.2155675546151828,,
1,FIWL,25,0.2733530977552703,195,0.2155675546151828,,
1,FIWL,26,0.2676505979308665,195,0.2155675546151828,,
1,FIWL,27,0.2618808838522281,195,0.2155675546151828,,
1,FIWL,28,0.2559170717341802,195,0.2155675546151828,,
1,FIWL,29,0.2528884449921608,195,0.2155675546151828,,
1,FIWL,30,0.2503262147981087,195,0.2155675546151828,,
1,FIWL,31,0.2485816889309289,195,0.2155675546151828,,
1,FIWL,32,0.2444047858747062,195,0.2155675546151828,,
1,FIWL,33,0.2397765815771385,195,0.2155675546151828,,
1,FIWL,34,0.2364584662016341,195,0.2155675546151828,,
1,FIWL,35,0.2321907426540552,195,0.2155675546151828,,
1,FIWL,36,0.2291650362806867,195,0.2155675546151828,,
1,FIWL,37,0.227977947762777,195,0.2155675546151828,,
1,FIWL,38,0.2249582982232699,195,0.2155675546151828,,
1,FIWL,39,0.222033633953142,195,0.2155675546151828,,
1,FIWL,40,0.2194531696507618,195,0.2155675546151828,,
1,MPWI,1,1.3168434768919235,183,0.2155675546151828,,
1,MPWI,2,0.931893023226406,183,0.2155675546151828,,
1,MPWI,3,0.7532867170639667,183,0.2155675546151828,,
1,MPWI,4,0.6629900080116536,183,0.2155675546151828,,
1,MPWI,5,0.5904416197276291,183,0.2155675546151828,,
1,MPWI,6,0.5429805539342432,183,0.2155675546151828,,
1,MPWI,7,0.5017368149347537,183,0.2155675546151828,,
1,MPWI,8,0.4652333753178329,183,0.2155675546151828,,
1,MPWI,9,0.4392308347318076,183,0.2155675546151828,,
1,MPWI,10,0.4193957914002285,183,0.2155675546151828,,
1,MPWI,11,0.3999662378366856,183,0.2155675546151828,,
1,MPWI,12,0.38194614889629,183,0.2155675546151828,,
1,MPWI,13,0.3682675852973373,183,0.2155675546151828,,
1,MPWI,14,0.3547975578479389,183,0.2155675546151828,,
1,MPWI,15,0.3446664462365921,183,0.2155675546151828,,
1,MPWI,16,0.3318849384167193,183,0.2155675546151828,,
1,MPWI,17,0.3225501254503437,183,0.2155675546151828,,
1,MPWI,18,0.3161879252287588,183,0.2155675546151828,,
1,MPWI,19,0.3090239036466369,183,0.2155675546151828,,
1,MPWI,20,0.3024216728345258,183,0.2155675546151828,,
1,MPWI,21,0.2953799157761447,183,0.2155675546151828,,
1,MPWI,22,0.2898064039723484,183,0.2155675546151828,,
1,MPWI,23,0.2837194520207372,183,0.2155675546151828,,
1,MPWI,24,0.2751742600637015,183,0.2155675546151828,,
1,MPWI,25,0.2712398854616142,183,0.2155675546151828,,
1,MPWI,26,0.2668725345411042,183,0.2155675546151828,,
1,MPWI,27,0.2623638117768407,183,0.2155675546151828,,
1,MPWI,28,0.2568553609079659,183,0.2155675546151828,,
1,MPWI,29,0.2526205946613688,183,0.2155675546151828,,
1,MPWI,30,0.2494055257706437,183,0.2155675546151828,,
1,MPWI,31,0.2471242828019446,183,0.2155675546151828,,
1,MPWI,32,0.2447638299938253,183,0.2155675546151828,,
1,MPWI,33,0.2399381450325048,183,0.2155675546151828,,
1,MPWI,34,0.2364212911042458,183,0.2155675546151828,,
1,MPWI,35,0.2328400687710026,183,0.2155675546151828,,
1,MPWI,36,0.2298036525963487,183,0.2155675546151828,,
1,MPWI,37,0.2287311408719127,183,0.2155675546151828,,
1,MPWI,38,0.2256435086804729,183,0.2155675546151828,,
1,MPWI,39,0.223239227351712,183,0.2155675546151828,,
1,MPWI,40,0.2202467304380483,183,0.2155675546151828,,
