rep,condition,step,rmse,distinct_items,reference,grad_steps,best_val_return
2,MFI,1,1.2642678684807802,194,0.2145721356628146,,
2,MFI,2,0.9378028764559964,194,0.2145721356628146,,
2,MFI,3,0.7715045749528973,194,0.2145721356628146,,
2,MFI,4,0.6901927456544967,194,0.2145721356628146,,
2,MFI,5,0.6293796782270616,194,0.2145721356628146,,
2,MFI,6,0.5712788844699149,194,0.2145721356628146,,
2,MFI,7,0.52412559955908,194,0.2145721356628146,,
2,MFI,8,0.4950953269746971,194,0.2145721356628146,,
2,MFI,9,0.4630506331617627,194,0.2145721356628146,,
2,MFI,10,0.4353172630396809,194,0.2145721356628146,,
2,MFI,11,0.413699342698841,194,0.2145721356628146,,
2,MFI,12,0.3937749609970815,194,0.2145721356628146,,
2,MFI,13,0.3748576378209775,194,0.2145721356628146,,
2,MFI,14,0.3618830731065525,194,0.2145721356628146,,
2,MFI,15,0.3508205398459271,194,0.2145721356628146,,
2,MFI,16,0.3365877036979082,194,0.2145721356628146,,
2,MFI,17,0.3283265999234099,194,0.2145721356628146,,
2,MFI,18,0.3210345632770377,194,0.2145721356628146,,
2,MFI,19,0.3132095443644049,194,0.2145721356628146,,
2,MFI,20,0.3077651875833896,194,0.2145721356628146,,
2,MFI,21,0.2985030479266578,194,0.2145721356628146,,
2,MFI,22,0.2912629253408453,194,0.2145721356628146,,
2,MFI,23,0.2839159819544322,194,0.2145721356628146,,
2,MFI,24,0.2763716377734219,194,0.2145721356628146,,
2,MFI,25,0.2731100177756959,194,0.2145721356628146,,
2,MFI,26,0.2681109107792594,194,0.2145721356628146,,
2,MFI,27,0.263766988873938,194,0.2145721356628146,,
2,MFI,28,0.2593999856932485,194,0.2145721356628146,,
2,MFI,29,0.2557928431092268,194,0.2145721356628146,,
2,MFI,30,0.2513326482926092,194,0.2145721356628146,,
2,MFI,31,0.2473291671466453,194,0.2145721356628146,,
2,MFI,32,0.2440798804579677,194,0.2145721356628146,,
2,MFI,33,0.2399970938406082,194,0.2145721356628146,,
2,MFI,34,0.2378249417325119,194,0.2145721356628146,,
2,MFI,35,0.2343454830934824,194,0.2145721356628146,,
2,MFI,36,0.2312259416231784,194,0.2145721356628146,,
2,MFI,37,0.2289578654512277,194,0.2145721356628146,,
2,MFI,38,0.2266892462533773,194,0.2145721356628146,,
2,MFI,39,0.2242863639678623,194,0.2145721356628146,,
2,MFI,40,0.2213075161977405,194,0.2145721356628146,,
2,FIWL,1,1.3727727361156263,188,0.2145721356628146,,
2,FIWL,2,0.9348327265883368,188,0.2145721356628146,,
2,FIWL,3,0.8100539193125273,188,0.2145721356628146,,
2,FIWL,4,0.7204630241727684,188,0.2145721356628146,,
2,FIWL,5,0.639879937557734,188,0.2145721356628146,,
2,FIWL,6,0.5713863502864488,188,0.2145721356628146,,
2,FIWL,7,0.52045147100664,188,0.2145721356628146,,
2,FIWL,8,0.4850556764892881,188,0.2145721356628146,,
2,FIWL,9,0.450575231960435,188,0.2145721356628146,,
