rep,condition,step,rmse,distinct_items,reference,grad_steps,best_val_return
1,MFI,1,1.2734985777472414,203,0.21556755461518282,,
1,MFI,2,0.9278010794045586,203,0.21556755461518282,,
1,MFI,3,0.7510331457137839,203,0.21556755461518282,,
1,MFI,4,0.6676812243001575,203,0.21556755461518282,,
1,MFI,5,0.612762795960218,203,0.21556755461518282,,
1,MFI,6,0.570111340684441,203,0.21556755461518282,,
1,MFI,7,0.524895903235137,203,0.21556755461518282,,
1,MFI,8,0.4834888864741737,203,0.21556755461518282,,
1,MFI,9,0.45301034798545775,203,0.21556755461518282,,
1,MFI,10,0.4273511840915524,203,0.21556755461518282,,
1,MFI,11,0.40698439312951146,203,0.21556755461518282,,
1,MFI,12,0.3845885105403202,203,0.21556755461518282,,
1,MFI,13,0.37109010001862075,203,0.21556755461518282,,
1,MFI,14,0.35518463258894883,203,0.21556755461518282,,
1,MFI,15,0.34394974439310794,203,0.21556755461518282,,
1,MFI,16,0.33146258900079806,203,0.21556755461518282,,
1,MFI,17,0.32085144528841036,203,0.21556755461518282,,
1,MFI,18,0.3125269881372137,203,0.21556755461518282,,
1,MFI,19,0.30484585784126494,203,0.21556755461518282,,
1,MFI,20,0.29885262353456904,203,0.21556755461518282,,
1,MFI,21,0.29274557129203044,203,0.21556755461518282,,
1,MFI,22,0.2866518224280564,203,0.21556755461518282,,
1,MFI,23,0.27712963317797107,203,0.21556755461518282,,
1,MFI,24,0.26960150903962027,203,0.21556755461518282,,
1,MFI,25,0.2660187333051534,203,0.21556755461518282,,
1,MFI,26,0.26096037443435416,203,0.21556755461518282,,
1,MFI,27,0.2565341798310123,203,0.21556755461518282,,
1,MFI,28,0.2518996645572124,203,0.21556755461518282,,
1,MFI,29,0.249579900398947,203,0.21556755461518282,,
1,MFI,30,0.24559224142119482,203,0.21556755461518282,,
1,MFI,31,0.24387886866018293,203,0.21556755461518282,,
1,MFI,32,0.2416102320836527,203,0.21556755461518282,,
1,MFI,33,0.23763147721533662,203,0.21556755461518282,,
1,MFI,34,0.23423455343880395,203,0.21556755461518282,,
1,MFI,35,0.2305197437570909,203,0.21556755461518282,,
1,MFI,36,0.22847265908571088,203,0.21556755461518282,,
1,MFI,37,0.2269902802261716,203,0.21556755461518282,,
1,MFI,38,0.22359216086301553,203,0.21556755461518282,,
1,MFI,39,0.22070001525803548,203,0.21556755461518282,,
1,MFI,40,0.21845571475018252,203,0.21556755461518282,,
1,FIWL,1,1.3919559748690138,195,0.21556755461518282,,
1,FIWL,2,0.9164950450723489,195,0.21556755461518282,,
1,FIWL,3,0.7950588865467224,195,0.21556755461518282,,
1,FIWL,4,0.7157741240219748,195,0.21556755461518282,,
1,FIWL,5,0.6349668835327168,195,0.21556755461518282,,
1,FIWL,6,0.5908212807888369,195,0.21556755461518282,,
1,FIWL,7,0.540529258619253,195,0.21556755461518282,,
1,FIWL,8,0.4996883319174739,195,0.21556755461518282,,
1,FIWL,9,0.4644113691907159,195,0.21556755461518282,,
1,FIWL,10,0.4391531554651901,195,0.21556755461518282,,
1,FIWL,11,0.4174664023495911,195,0.21556755461518282,,
1,FIWL,12,0.39487139601404614,195,0.21556755461518282,,
1,FIWL,13,0.3799760648669144,195,0.21556755461518282,,
1,FIWL,14,0.36438007115883936,195,0.21556755461518282,,
1,FIWL,15,0.35294973564447885,195,0.21556755461518282,,
1,FIWL,16,0.3406294910748175,195,0.21556755461518282,,
1,FIWL,17,0.32875844037973373,195,0.21556755461518282,,
1,FIWL,18,0.32223942948676443,195,0.21556755461518282,,
1,FIWL,19,0.3121420899063941,195,0.21556755461518282,,
1,FIWL,20,0.3048208535856744,195,0.21556755461518282,,
1,FIWL,21,0.29880768758445925,195,0.21556755461518282,,
1,FIWL,22,0.29186538386455857,195,0.21556755461518282,,
1,FIWL,23,0.284006630024121,195,0.21556755461518282,,
1,FIWL,24,0.27751050345574635,195,0.21556755461518282,,
1,FIWL,25,0.2733530977552703,195,0.21556755461518282,,
1,FIWL,26,0.2676505979308665,195,0.21556755461518282,,
1,FIWL,27,0.26188088385222813,195,0.21556755461518282,,
1,FIWL,28,0.25591707173418027,195,0.21556755461518282,,
1,FIWL,29,0.2528884449921608,195,0.21556755461518282,,
