rep,condition,step,rmse,distinct_items,reference,grad_steps,best_val_return
2,MFI,1,1.2642678684807802,194,0.21457213566281466,,
2,MFI,2,0.9378028764559965,194,0.21457213566281466,,
2,MFI,3,0.7715045749528973,194,0.21457213566281466,,
2,MFI,4,0.6901927456544967,194,0.21457213566281466,,
2,MFI,5,0.6293796782270616,194,0.21457213566281466,,
2,MFI,6,0.5712788844699149,194,0.21457213566281466,,
2,MFI,7,0.52412559955908,194,0.21457213566281466,,
2,MFI,8,0.49509532697469716,194,0.21457213566281466,,
2,MFI,9,0.4630506331617627,194,0.21457213566281466,,
2,MFI,10,0.43531726303968094,194,0.21457213566281466,,
2,MFI,11,0.413699342698841,194,0.21457213566281466,,
2,MFI,12,0.39377496099708154,194,0.21457213566281466,,
2,MFI,13,0.3748576378209775,194,0.21457213566281466,,
2,MFI,14,0.36188307310655254,194,0.21457213566281466,,
2,MFI,15,0.35082053984592715,194,0.21457213566281466,,
2,MFI,16,0.3365877036979082,194,0.21457213566281466,,
2,MFI,17,0.32832659992340996,194,0.21457213566281466,,
2,MFI,18,0.3210345632770377,194,0.21457213566281466,,
2,MFI,19,0.3132095443644049,194,0.21457213566281466,,
2,MFI,20,0.30776518758338967,194,0.21457213566281466,,
2,MFI,21,0.2985030479266578,194,0.21457213566281466,,
2,MFI,22,0.2912629253408453,194,0.21457213566281466,,
2,MFI,23,0.28391598195443224,194,0.21457213566281466,,
2,MFI,24,0.27637163777342194,194,0.21457213566281466,,
2,MFI,25,0.2731100177756959,194,0.21457213566281466,,
2,MFI,26,0.26811091077925947,194,0.21457213566281466,,
2,MFI,27,0.26376698887393807,194,0.21457213566281466,,
2,MFI,28,0.2593999856932485,194,0.21457213566281466,,
2,MFI,29,0.2557928431092268,194,0.21457213566281466,,
2,MFI,30,0.2513326482926092,194,0.21457213566281466,,
2,MFI,31,0.2473291671466453,194,0.21457213566281466,,
2,MFI,32,0.24407988045796775,194,0.21457213566281466,,
2,MFI,33,0.2399970938406082,194,0.21457213566281466,,
2,MFI,34,0.23782494173251195,194,0.21457213566281466,,
2,MFI,35,0.23434548309348244,194,0.21457213566281466,,
2,MFI,36,0.23122594162317847,194,0.21457213566281466,,
2,MFI,37,0.22895786545122773,194,0.21457213566281466,,
2,MFI,38,0.22668924625337736,194,0.21457213566281466,,
2,MFI,39,0.22428636396786236,194,0.21457213566281466,,
2,MFI,40,0.22130751619774056,194,0.21457213566281466,,
2,FIWL,1,1.3727727361156263,188,0.21457213566281466,,
2,FIWL,2,0.9348327265883367,188,0.21457213566281466,,
2,FIWL,3,0.8100539193125273,188,0.21457213566281466,,
2,FIWL,4,0.7204630241727684,188,0.21457213566281466,,
2,FIWL,5,0.639879937557734,188,0.21457213566281466,,
2,FIWL,6,0.5713863502864488,188,0.21457213566281466,,
2,FIWL,7,0.52045147100664,188,0.21457213566281466,,
2,FIWL,8,0.48505567648928816,188,0.21457213566281466,,
2,FIWL,9,0.45057523196043503,188,0.21457213566281466,,
2,FIWL,10,0.42533638482862884,188,0.21457213566281466,,
2,FIWL,11,0.4064072073861628,188,0.21457213566281466,,
2,FIWL,12,0.39172091272503784,188,0.21457213566281466,,
2,FIWL,13,0.3728021668881868,188,0.21457213566281466,,
2,FIWL,14,0.3621823826298968,188,0.21457213566281466,,
2,FIWL,15,0.3516150188265472,188,0.21457213566281466,,
2,FIWL,16,0.34071887976295673,188,0.21457213566281466,,
2,FIWL,17,0.3305876395643157,188,0.21457213566281466,,
2,FIWL,18,0.32156078484527184,188,0.21457213566281466,,
2,FIWL,19,0.3113560942758149,188,0.21457213566281466,,
2,FIWL,20,0.30593440429730573,188,0.21457213566281466,,
2,FIWL,21,0.29820277061619826,188,0.21457213566281466,,
2,FIWL,22,0.2924097773117617,188,0.21457213566281466,,
2,FIWL,23,0.28670412492846575,188,0.21457213566281466,,
2,FIWL,24,0.2788783370386626,188,0.21457213566281466,,
2,FIWL,25,0.27543216836462453,188,0.21457213566281466,,
2,FIWL,26,0.2697178766836085,188,0.21457213566281466,,
2,FIWL,27,0.2651163812313619,188,0.21457213566281466,,
2,FIWL,28,0.2599761141541145,188,0.21457213566281466,,
2,FIWL,29,0.256680570955378,188,0.21457213566281466,,
2,FIWL,30,0.25215037754070785,188,0.21457213566281466,,
2,FIWL,31,0.2495102325060188,188,0.21457213566281466,,
2,FIWL,32,0.24611286153087003,188,0.21457213566281466,,
2,FIWL,33,0.24247454590390843,188,0.21457213566281466,,
2,FIWL,34,0.23882091675908645,188,0.21457213566281466,,
2,FIWL,35,0.235339556074408,188,0.21457213566281466,,
2,FIWL,36,0.23137173470366781,188,0.21457213566281466,,
2,FIWL,37,0.22886687732556563,188,0.21457213566281466,,
2,FIWL,38,0.22727277843314378,188,0.21457213566281466,,
2,FIWL,39,0.22421364777897365,188,0.21457213566281466,,
2,FIWL,40,0.2210238291116743,188,0.21457213566281466,,
2,MPWI,1,1.3011421739690783,183,0.21457213566281466,,
2,MPWI,2,0.9510383281351459,183,0.21457213566281466,,
2,MPWI,3,0.7663854188226962,183,0.21457213566281466,,
2,MPWI,4,0.6670382416605464,183,0.21457213566281466,,
2,MPWI,5,0.5943906675700384,183,0.21457213566281466,,
2,MPWI,6,0.5410439606442915,183,0.21457213566281466,,
2,MPWI,7,0.4964543264126563,183,0.21457213566281466,,
2,MPWI,8,0.4650239012268416,183,0.21457213566281466,,
2,MPWI,9,0.4392216314618098,183,0.21457213566281466,,
2,MPWI,10,0.41346801015027246,183,0.21457213566281466,,
2,MPWI,11,0.39804494985943073,183,0.21457213566281466,,
2,MPWI,12,0.38402754718732385,183,0.21457213566281466,,
2,MPWI,13,0.36667090068752434,183,0.21457213566281466,,
2,MPWI,14,0.35537482789169206,183,0.21457213566281466,,
2,MPWI,15,0.3454861781768383,183,0.21457213566281466,,
2,MPWI,16,0.3314676874813734,183,0.21457213566281466,,
2,MPWI,17,0.3214095730734474,183,0.21457213566281466,,
2,MPWI,18,0.3148547581047524,183,0.21457213566281466,,
2,MPWI,19,0.30546135530595364,183,0.21457213566281466,,
2,MPWI,20,0.2994301664632093,183,0.21457213566281466,,
2,MPWI,21,0.29151744858282713,183,0.21457213566281466,,
2,MPWI,22,0.2856137154262554,183,0.21457213566281466,,
